fecha,id_sku,categoria,volumen_litros,formato_envase,cantidad_vendida_total,stock_apertura,ingresos_almacen,stock_disponible_cierre,stock_minimo,precio_unitario_promedio,descuento_total,porcentaje_descuento_promedio,inversion_ads_total,clics_total,impresiones_total,conversiones_total,temperatura_promedio_celsius,temperatura_maxima_celsius,humedad_porcentaje,precipitacion_mm,alerta_ola_calor,numero_dia_semana,mes,trimestre,es_fin_de_semana,es_feriado,es_quincena,es_fin_mes,temporada,ventas_lag1,ventas_lag7,ventas_roll7,ads_lag1,ads_lag3,riesgo_demanda_censurada,fecha_creacion,fecha_modificacion,usuario_modificacion
2024-01-01,SKU_1L,Personal,1.0,Botella,153,540,0,411,180,2.0,0.0,0.0,0.0,0,0,0,20.9,25.2,76.4,0.0,False,1,1,1,False,True,False,False,Verano,0,0,153.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-02,SKU_1L,Personal,1.0,Botella,51,411,0,339,180,2.0,0.0,0.0,0.0,0,0,0,20.8,25.1,81.1,0.0,False,2,1,1,False,False,False,False,Verano,153,0,102.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-03,SKU_1L,Personal,1.0,Botella,132,339,0,207,180,2.0,0.0,0.0,79.02,1276,61293,67,20.3,23.2,79.7,0.0,False,3,1,1,False,False,False,False,Verano,51,0,112.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-04,SKU_1L,Personal,1.0,Botella,147,568,361,421,180,2.0,0.0,0.0,69.98,1207,89448,30,18.6,21.9,82.8,0.0,False,4,1,1,False,False,False,False,Verano,132,0,120.75,79.02,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-05,SKU_1L,Personal,1.0,Botella,132,421,0,289,180,2.0,0.0,0.0,241.6,2580,212518,91,20.1,23.7,72.1,0.0,False,5,1,1,False,False,False,False,Verano,147,0,123.0,69.98,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-06,SKU_1L,Personal,1.0,Botella,214,289,0,75,180,2.0,0.0,0.0,239.52,2387,172560,63,22.9,25.5,76.7,0.0,False,6,1,1,True,False,False,False,Verano,132,0,138.17,241.6,79.02,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-07,SKU_1L,Personal,1.0,Botella,162,657,582,495,180,2.0,0.0,0.0,193.75,2238,138127,92,20.5,24.7,76.2,0.0,False,7,1,1,True,False,False,False,Verano,214,0,141.57,239.52,69.98,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-08,SKU_1L,Personal,1.0,Botella,100,495,0,395,180,2.0,0.0,0.0,207.88,2783,168476,134,20.6,25.4,77.2,0.0,False,1,1,1,False,False,False,False,Verano,162,153,134.0,193.75,241.6,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-09,SKU_1L,Personal,1.0,Botella,129,395,0,266,180,2.0,0.0,0.0,260.97,2800,211809,105,21.3,25.2,68.8,0.0,False,2,1,1,False,False,False,False,Verano,100,51,145.14,207.88,239.52,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-10,SKU_1L,Personal,1.0,Botella,155,266,0,111,180,1.8,31.0,10.0,151.01,2001,115574,107,21.4,26.2,80.1,0.0,False,3,1,1,False,False,False,False,Verano,129,132,148.43,260.97,193.75,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-11,SKU_1L,Personal,1.0,Botella,143,644,533,501,180,1.8,28.6,10.0,217.34,2410,158453,96,21.2,24.7,75.5,0.0,False,4,1,1,False,False,False,False,Verano,155,147,147.86,151.01,207.88,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
