id_importance,feature_name,importance_value,ranking,modelo_version,fecha_entrenamiento,usuario_ejecucion
1,remainder__ventas_roll7,0.8936680041042919,1,v1,2026-05-31 16:39:53.844956,train_model.py
2,remainder__numero_dia_semana,0.020990758177102317,2,v1,2026-05-31 16:39:53.844956,train_model.py
3,remainder__temperatura_maxima_celsius,0.010845716584928632,3,v1,2026-05-31 16:39:53.844956,train_model.py
4,remainder__es_quincena,0.007393761870335631,4,v1,2026-05-31 16:39:53.844956,train_model.py
5,remainder__ventas_lag7,0.007164301727374995,5,v1,2026-05-31 16:39:53.844956,train_model.py
6,remainder__inversion_ads_total,0.007152120297305038,6,v1,2026-05-31 16:39:53.844956,train_model.py
7,remainder__temperatura_promedio_celsius,0.006419291028464373,7,v1,2026-05-31 16:39:53.844956,train_model.py
8,remainder__descuento_total,0.006235705536342163,8,v1,2026-05-31 16:39:53.844956,train_model.py
9,remainder__es_fin_de_semana,0.005095303598892137,9,v1,2026-05-31 16:39:53.844956,train_model.py
10,remainder__ventas_lag1,0.005066968668320948,10,v1,2026-05-31 16:39:53.844956,train_model.py
11,remainder__ingresos_almacen,0.004993761240531978,11,v1,2026-05-31 16:39:53.844956,train_model.py
12,remainder__precio_unitario_promedio,0.004689666384072572,12,v1,2026-05-31 16:39:53.844956,train_model.py
13,remainder__ads_lag3,0.003574152508085784,13,v1,2026-05-31 16:39:53.844956,train_model.py
14,remainder__mes,0.0031556684220260577,14,v1,2026-05-31 16:39:53.844956,train_model.py
15,remainder__impresiones_total,0.0027235566152235503,15,v1,2026-05-31 16:39:53.844956,train_model.py
16,remainder__humedad_porcentaje,0.0026432942101213,16,v1,2026-05-31 16:39:53.844956,train_model.py
17,remainder__stock_apertura,0.002606200257981681,17,v1,2026-05-31 16:39:53.844956,train_model.py
18,remainder__clics_total,0.002570958639994015,18,v1,2026-05-31 16:39:53.844956,train_model.py
19,remainder__trimestre,0.0010870103004707423,19,v1,2026-05-31 16:39:53.844956,train_model.py
20,remainder__conversiones_total,0.0005955072528875586,20,v1,2026-05-31 16:39:53.844956,train_model.py
21,remainder__stock_minimo,0.0005514038903541269,21,v1,2026-05-31 16:39:53.844956,train_model.py
22,remainder__ads_lag1,0.0003709779212182071,22,v1,2026-05-31 16:39:53.844956,train_model.py
23,cat__temporada_Verano,0.00016533022985022427,23,v1,2026-05-31 16:39:53.844956,train_model.py
24,cat__categoria_Personal,0.0001386315110287719,24,v1,2026-05-31 16:39:53.844956,train_model.py
25,cat__formato_envase_Botella,6.133944012903272e-05,25,v1,2026-05-31 16:39:53.844956,train_model.py
26,cat__formato_envase_Bidón,4.05808918891062e-05,26,v1,2026-05-31 16:39:53.844956,train_model.py
27,remainder__volumen_litros,2.8690777028788758e-08,27,v1,2026-05-31 16:39:53.844956,train_model.py
28,cat__categoria_Familiar,0.0,28,v1,2026-05-31 16:39:53.844956,train_model.py
29,cat__id_sku_SKU_1L,0.0,29,v1,2026-05-31 16:39:53.844956,train_model.py
30,cat__id_sku_SKU_20L,0.0,30,v1,2026-05-31 16:39:53.844956,train_model.py
31,cat__id_sku_SKU_500ML,0.0,31,v1,2026-05-31 16:39:53.844956,train_model.py
32,remainder__porcentaje_descuento_promedio,0.0,32,v1,2026-05-31 16:39:53.844956,train_model.py
33,cat__temporada_Invierno,0.0,33,v1,2026-05-31 16:39:53.844956,train_model.py
34,cat__temporada_Intermedia,0.0,34,v1,2026-05-31 16:39:53.844956,train_model.py
35,remainder__precipitacion_mm,0.0,35,v1,2026-05-31 16:39:53.844956,train_model.py
36,remainder__es_feriado,0.0,36,v1,2026-05-31 16:39:53.844956,train_model.py
37,remainder__alerta_ola_calor,0.0,37,v1,2026-05-31 16:39:53.844956,train_model.py
38,remainder__es_fin_mes,0.0,38,v1,2026-05-31 16:39:53.844956,train_model.py
39,remainder__riesgo_demanda_censurada,0.0,39,v1,2026-05-31 16:39:53.844956,train_model.py
