fecha,id_sku,id_canal,id_campana,cantidad_vendida_total,venta_total,precio_unitario_promedio,descuento_total,porcentaje_descuento_promedio,numero_transacciones,fecha_creacion,fecha_modificacion,usuario_modificacion
2024-01-01,SKU_1L,CH_01,SIN_CAMPANA,45,90.0,2.0,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-01,SKU_1L,CH_02,SIN_CAMPANA,108,112.0,2.0,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-01,SKU_20L,CH_01,SIN_CAMPANA,40,300.0,7.5,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-01,SKU_20L,CH_04,SIN_CAMPANA,24,180.0,7.5,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-01,SKU_500ML,CH_01,SIN_CAMPANA,108,129.6,1.2,0.0,0.0,4,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-01,SKU_500ML,CH_03,SIN_CAMPANA,23,27.6,1.2,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_1L,CH_01,SIN_CAMPANA,35,70.0,2.0,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_1L,CH_03,SIN_CAMPANA,16,32.0,2.0,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_20L,CH_01,SIN_CAMPANA,30,225.0,7.5,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_20L,CH_03,SIN_CAMPANA,58,435.0,7.5,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_500ML,CH_01,SIN_CAMPANA,57,68.4,1.2,0.0,0.0,3,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_500ML,CH_02,SIN_CAMPANA,48,57.6,1.2,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-02,SKU_500ML,CH_03,SIN_CAMPANA,40,48.0,1.2,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_1L,CH_01,SIN_CAMPANA,114,228.0,2.0,0.0,0.0,6,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_1L,CH_04,CAMP_003,18,36.0,2.0,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_20L,CH_02,SIN_CAMPANA,68,510.0,7.5,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_500ML,CH_01,SIN_CAMPANA,82,98.4,1.2,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_500ML,CH_02,SIN_CAMPANA,46,55.2,1.2,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-03,SKU_500ML,CH_04,SIN_CAMPANA,40,48.0,1.2,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_1L,CH_01,SIN_CAMPANA,41,82.0,2.0,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_1L,CH_04,CAMP_003,43,86.0,2.0,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_1L,CH_04,SIN_CAMPANA,63,126.0,2.0,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_20L,CH_01,SIN_CAMPANA,20,150.0,7.5,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_20L,CH_02,SIN_CAMPANA,23,172.5,7.5,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_20L,CH_03,SIN_CAMPANA,27,202.5,7.5,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_500ML,CH_01,SIN_CAMPANA,66,79.2,1.2,0.0,0.0,5,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_500ML,CH_02,SIN_CAMPANA,23,27.6,1.2,0.0,0.0,2,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_500ML,CH_03,SIN_CAMPANA,45,54.0,1.2,0.0,0.0,3,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
2024-01-04,SKU_500ML,CH_04,SIN_CAMPANA,14,16.8,1.2,0.0,0.0,1,2026-06-02 02:05:31.228869,2026-06-02 02:05:31.228869,postgres
