id_importance,feature_name,importance_value,ranking,modelo_version,fecha_entrenamiento,usuario_ejecucion
1,remainder__ventas_roll7,0.8443433827083731,1,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
2,remainder__ventas_lag7,0.01564155989231233,2,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
3,remainder__numero_dia_semana,0.014558650667871587,3,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
4,remainder__ventas_lag1,0.014533793223718656,4,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
5,remainder__humedad_porcentaje,0.011595036582076697,5,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
6,remainder__stock_apertura,0.011417254681896426,6,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
7,remainder__temperatura_maxima_celsius,0.010545203458802903,7,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
8,remainder__es_fin_de_semana,0.008886095912983113,8,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
9,remainder__ads_lag3,0.007931921843662577,9,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
10,remainder__ads_lag1,0.007659552999946432,10,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
11,remainder__temperatura_promedio_celsius,0.007477214499935598,11,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
12,remainder__inversion_ads_total,0.006848540472596298,12,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
13,remainder__impresiones_total,0.005040722998775087,13,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
14,remainder__ingresos_almacen,0.004856608320583416,14,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
15,remainder__conversiones_total,0.0046152211478024865,15,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
16,remainder__descuento_total,0.004543483263552589,16,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
17,remainder__clics_total,0.004160271057965058,17,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
18,remainder__mes,0.003575315842738104,18,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
19,remainder__es_quincena,0.003501894657895555,19,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
20,remainder__precio_unitario_promedio,0.0016079494887672777,20,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
21,remainder__trimestre,0.0009030209886728131,21,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
22,remainder__alerta_ola_calor,0.0007622328121406532,22,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
23,cat__temporada_Invierno,0.0007466231505783832,23,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
24,cat__temporada_Intermedia,0.0005956245493682611,24,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
25,cat__temporada_Verano,0.0005508200151425727,25,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
26,remainder__porcentaje_descuento_promedio,0.0005408401497007287,26,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
27,remainder__es_fin_mes,0.0004768706967208853,27,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
28,remainder__es_feriado,0.00041183912014229986,28,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
29,remainder__precipitacion_mm,0.00038384968433612647,29,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
30,cat__id_sku_SKU_1L,0.00034765048003544647,30,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
31,remainder__stock_minimo,0.00025681528190937017,31,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
32,cat__id_sku_SKU_500ML,0.000251703337622907,32,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
33,remainder__volumen_litros,0.0002397488844518264,33,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
34,cat__categoria_Personal,4.785114467187843e-05,34,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
35,cat__categoria_Familiar,3.964010577603218e-05,35,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
36,cat__formato_envase_Botella,3.670052014283703e-05,36,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
37,cat__formato_envase_Bidón,3.5860621902125065e-05,37,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
38,cat__id_sku_SKU_20L,3.2634734429559526e-05,38,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
39,remainder__riesgo_demanda_censurada,0.0,39,RandomForest_v1,2026-06-02 17:04:22.614085,02_train_model.ipynb
