fecha_foto,id_sku,stock_inicial_sistema,ingresos_almacen,stock_apertura,stock_disponible_cierre,stock_minimo,costo_unitario,quiebre_stock_flag,etl_source_file,etl_loaded_at
2024-01-01,SKU_500ML,720,0,720,589,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-01,SKU_1L,540,0,540,411,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-01,SKU_20L,360,0,360,296,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-02,SKU_500ML,589,0,589,444,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-02,SKU_1L,411,0,411,339,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-02,SKU_20L,296,0,296,208,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-03,SKU_500ML,444,0,444,276,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-03,SKU_1L,339,0,339,207,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-03,SKU_20L,208,0,208,140,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-04,SKU_500ML,276,693,969,821,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-04,SKU_1L,207,361,568,421,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-04,SKU_20L,140,252,392,322,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-05,SKU_500ML,821,0,821,662,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-05,SKU_1L,421,0,421,289,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-05,SKU_20L,322,0,322,241,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-06,SKU_500ML,662,0,662,452,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-06,SKU_1L,289,0,289,75,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-06,SKU_20L,241,0,241,121,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-07,SKU_500ML,452,0,452,231,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-07,SKU_1L,75,582,657,495,180,0.85,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-07,SKU_20L,121,310,431,340,120,3.80,false,sap_inventario_diario.csv,2026-05-30 00:00:00
2024-01-08,SKU_500ML,231,579,810,650,240,0.55,false,sap_inventario_diario.csv,2026-05-30 00:00:00
