id_transaccion,fecha_venta,id_cliente,id_canal,id_campana,estado_venta,etl_source_file,etl_loaded_at
TX_000001,2024-01-01 15:29:00,CLI_0054,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000002,2024-01-01 11:56:00,CLI_0081,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000003,2024-01-01 12:36:00,CLI_0025,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000004,2024-01-01 14:45:00,CLI_0090,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000005,2024-01-01 16:24:00,CLI_0064,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000006,Fecha_Error,CLI_0032,CH_04,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000007,2024-01-01 15:09:00,CLI_0084,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000008,2024-01-01 18:44:00,CLI_0001,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000009,2024-01-01 13:57:00,CLI_0097,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000010,2024-01-01 17:55:00,CLI_0099,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000011,2024-01-01 21:56:00,CLI_0014,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000012,2024-01-01 11:49:00,CLI_0055,CH_04,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000013,2024-01-02 10:14:00,CLI_0023,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000014,2024-01-02 13:51:00,CLI_0090,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000015,2024-01-02 18:33:00,CLI_0060,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000016,2024-01-02 12:03:00,CLI_0072,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000017,2024-01-02 16:15:00,CLI_0118,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000018,2024-01-02 16:54:00,CLI_0016,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000019,2024-01-02 16:29:00,CLI_0018,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000020,2024-01-02 19:51:00,CLI_0060,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000021,02/01/2024 15:42,CLI_0068,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000022,2024-01-02 08:35:00,CLI_0077,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000023,2024-01-02 16:20:00,CLI_0097,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000024,2024-01-02 16:57:00,CLI_0057,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000025,2024-01-02 19:39:00,CLI_0105,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000026,2024-01-02 16:46:00,CLI_0115,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000027,2024-01-03 15:32:00,CLI_0055,CH_04,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000028,2024-01-03 15:53:00,CLI_0117,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000029,2024-01-03 11:35:00,CLI_0058,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000030,2024-01-03 09:57:00,CLI_0021,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000031,2024-01-03 16:47:00,CLI_0111,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000032,2024-01-03 15:30:00,CLI_0058,CH_04,CAMP_003,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000033,2024-01-03 14:16:00,CLI_0097,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000034,2024-01-03 15:15:00,CLI_0108,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000035,2024-01-03 11:40:00,CLI_0036,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000036,2024-01-03 12:49:00,CLI_0100,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000037,2024-01-03 19:33:00,CLI_0063,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000038,2024-01-03 19:40:00,CLI_0031,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000039,2024-01-03 08:17:00,CLI_0057,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000040,2024-01-04 14:04:00,CLI_0092,CH_03,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000041,2024-01-04 13:18:00,CLI_0031,CH_01,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
TX_000042,2024-01-04 15:17:00,CLI_0043,CH_02,,Completada,sap_ventas_cabecera.csv,2026-05-30 00:00:00
