id_transaccion,linea_detalle,id_sku,cantidad_vendida,precio_unitario_aplicado,porcentaje_descuento,monto_descuento,monto_linea,etl_source_file,etl_loaded_at
TX_000001,1,SKU_500ML,28,1.20,0,0.00,33.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000002,1,SKU_500ML,31,1.20,0,0.00,37.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000003,1,SKU_500ML,28,1.20,0,0.00,33.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000004,1,SKU_500ML,23,1.20,0,0.00,27.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000005,1,SKU_500ML,21,1.20,0,0.00,25.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000006,1,SKU_1L,28,2.00,0,0.00,56.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000007,1,SKU_1L,28,2.00,0,0.00,56.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000008,1,SKU_1L,8.0,2.00,0,0.00,56.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000009,1,SKU_1L,29,2.00,0,0.00,58.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000010,1,SKU_1L,16,2.00,0,0.00,32.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000011,1,SKU_20L,40,7.50,0,0.00,300.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000012,1,SKU_20L,24,7.50,0,0.00,180.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000013,1,SKU_500ML,22,1.20,0,0.00,26.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000014,1,SKU_500ML,14,1.20,0,0.00,16.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000015,1,SKU_500ML,23,1.20,0,0.00,27.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000016,1,SKU_500ML,26,S/ 1.20,0,0.00,31.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000017,1,SKU_500ML,25,1.20,0,0.00,30.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000018,1,SKU_500ML,17,1.20,0,0.00,20.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000019,1,SKU_500ML,18,1.20,0,0.00,21.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000020,1,SKU_1L,12,2.00,0,0.00,24.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000021,1,SKU_1L,21,2.00,0,0.00,42.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000022,1,SKU_1L,23,2.00,0,0.00,46.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000023,1,SKU_1L,16,2.00,0,0.00,32.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000024,1,SKU_20L,24,7.50,0,0.00,180.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000025,1,SKU_20L,34,7.50,0,0.00,255.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000026,1,SKU_20L,30,7.50,0,0.00,225.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000027,1,SKU_500ML,40,1.20,0,0.00,48.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000028,1,SKU_500ML,46,1.20,0,0.00,55.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000029,1,SKU_500ML,41,1.20,0,0.00,49.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000030,1,SKU_500ML,41,1.20,0,0.00,49.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000031,1,SKU_1L,17,2.00,0,0.00,34.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000032,1,SKU_1L,18,2.00,0,0.00,36.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000033,1,SKU_1L,20,2.00,0,0.00,40.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000034,1,SKU_1L,17,2.00,0,0.00,34.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000035,1,SKU_1L,25,2.00,0,0.00,50.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000036,1,SKU_1L,16,2.00,0,0.00,32.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000037,1,SKU_1L,19,2.00,0,0.00,38.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000038,1,SKU_20L,35,7.50,0,0.00,262.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000039,1,SKU_20L,33,7.50,0,0.00,247.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000040,1,SKU_500ML,16,1.20,0,0.00,19.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000041,1,SKU_500ML,18,1.20,0,0.00,21.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000042,1,SKU_500ML,12,1.20,0,0.00,14.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000043,1,SKU_500ML,14,1.20,0,0.00,16.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000044,1,SKU_500ML,12,1.20,0,0.00,14.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000045,1,SKU_500ML,12,1.20,0,0.00,14.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000046,1,SKU_500ML,11,1.20,0,0.00,13.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000047,1,SKU_500ML,15,1.20,0,0.00,18.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000048,1,SKU_500ML,17,1.20,0,0.00,20.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000049,1,SKU_500ML,7,1.20,0,0.00,8.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000050,1,SKU_500ML,14,1.20,0,0.00,16.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000051,1,SKU_1L,37,2.00,0,0.00,74.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000052,1,SKU_1L,26,2.00,0,0.00,52.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000053,1,SKU_1L,41,2.00,0,0.00,82.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000054,1,SKU_1L,43,2.00,0,0.00,86.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000055,1,SKU_20L,13,7.50,0,0.00,97.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000056,1,SKU_20L,14,7.50,0,0.00,105.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000057,1,SKU_20L,23,7.50,0,0.00,172.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000058,1,SKU_20L,10,7.50,0,0.00,75.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000059,1,SKU_20L,10,7.50,0,0.00,75.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000060,1,SKU_500ML,23,1.20,0,0.00,27.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000061,1,SKU_500ML,15,1.20,0,0.00,18.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000062,1,SKU_500ML,11,1.20,0,0.00,13.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000063,1,SKU_500ML,14,1.20,0,0.00,16.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000064,1,SKU_500ML,25,1.20,0,0.00,30.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000065,1,SKU_500ML,23,1.20,0,0.00,27.60,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000066,1,SKU_500ML,24,1.20,0,0.00,28.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000067,1,SKU_500ML,24,1.20,0,0.00,28.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000068,1,SKU_1L,14,2.00,0,0.00,28.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000069,1,SKU_1L,12,2.00,0,0.00,24.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000070,1,SKU_1L,15,2.00,0,0.00,30.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000071,1,SKU_1L,13,2.00,0,0.00,26.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000072,1,SKU_1L,21,2.00,0,0.00,42.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000073,1,SKU_1L,13,2.00,0,0.00,26.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000074,1,SKU_1L,20,2.00,0,0.00,40.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000075,1,SKU_1L,12,2.00,0,0.00,24.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000076,1,SKU_1L,12,2.00,0,0.00,24.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000077,1,SKU_20L,26,7.50,0,0.00,195.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000078,1,SKU_20L,25,7.50,0,0.00,187.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000079,1,SKU_20L,30,7.50,0,0.00,225.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000080,1,SKU_500ML,24,1.20,0,0.00,28.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000081,1,SKU_500ML,32,1.20,0,0.00,38.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000082,1,SKU_500ML,26,1.20,0,0.00,31.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000083,1,SKU_500ML,31,1.20,0,0.00,37.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000084,1,SKU_500ML,32,1.20,0,0.00,38.40,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000085,1,SKU_500ML,36,1.20,0,0.00,43.20,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000086,1,SKU_500ML,29,1.20,0,0.00,34.80,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000087,1,SKU_1L,82,2.00,0,0.00,164.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000088,1,SKU_1L,62,2.00,0,0.00,124.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000089,1,SKU_1L,70,2.00,0,0.00,140.00,sap_ventas_detalle.csv,2026-05-30 00:00:00
TX_000090,1,SKU_20L,41,7.50,0,0.00,307.50,sap_ventas_detalle.csv,2026-05-30 00:00:00
